id,source,crop,ph,nitrogen,phosphorus,potassium,organic_carbon,recommended_fertilizer,dosage_kg_ha
1,GOI_SHC,Wheat,7.2,180,18,150,0.4,Urea+DAP,120
2,GOI_SHC,Rice,6.8,200,20,160,0.5,Urea+DAP,110
3,GOI_SHC,Sugarcane,7.5,220,25,180,0.6,Urea+MOP,150
4,GOI_SHC,Cotton,7.0,190,15,140,0.45,DAP+MOP,100
5,GOI_SHC,Soybean,6.9,150,30,120,0.55,SSP,80
6,ICAR_PUB,Wheat,6.5,280,22,200,0.7,Urea,80
7,ICAR_PUB,Rice,7.8,160,12,110,0.3,Urea+Zinc,130
8,ICAR_PUB,Maize,7.1,210,19,170,0.5,NPK 10:26:26,100
9,ICAR_PUB,Vegetables,6.7,240,35,210,0.8,Compost+19:19:19,200
10,DATA_GOV,Wheat,7.0,195,16,145,0.42,Urea+DAP,115
11,DATA_GOV,Rice,6.9,215,21,155,0.48,Urea+DAP,112
12,DATA_GOV,Sugarcane,7.6,230,24,190,0.62,Urea+MOP,148
13,DATA_GOV,Cotton,7.1,185,14,135,0.44,DAP+MOP,105
14,DATA_GOV,Soybean,6.8,145,29,125,0.52,SSP,82
15,KVK_EXT,Wheat,6.6,275,23,195,0.72,Urea,78
16,KVK_EXT,Rice,7.7,165,13,115,0.32,Urea+Zinc,128
17,KVK_EXT,Maize,7.2,205,18,175,0.51,NPK 10:26:26,102
18,KVK_EXT,Vegetables,6.8,235,34,205,0.82,Compost+19:19:19,198
19,SAU_PUB,Wheat,7.3,182,17,148,0.41,Urea+DAP,118
20,SAU_PUB,Rice,6.7,198,19,158,0.49,Urea+DAP,108
21,GOI_SHC,Wheat,7.1,190,20,140,0.5,Urea+DAP,115
22,ICAR_PUB,Rice,6.9,210,22,150,0.6,Urea+DAP,105
23,DATA_GOV,Maize,7.0,200,18,160,0.45,NPK 12:32:16,110
24,KVK_EXT,Cotton,7.4,180,14,130,0.4,DAP+MOP,102
25,SAU_PUB,Soybean,6.6,140,28,110,0.5,SSP,85
26,GOI_SHC,Sugarcane,7.8,240,26,190,0.7,Urea+MOP,155
27,ICAR_PUB,Wheat,6.8,260,24,180,0.6,Urea,85
28,DATA_GOV,Rice,7.5,170,14,120,0.35,Urea+Zinc,125
29,KVK_EXT,Vegetables,6.5,250,36,220,0.9,Compost+19,195
30,SAU_PUB,Wheat,7.2,185,16,145,0.43,Urea+DAP,117
31,GOI_SHC,Rice,6.5,220,25,170,0.55,Urea,95
32,ICAR_PUB,Wheat,7.6,170,15,130,0.38,Urea+DAP,125
33,DATA_GOV,Maize,7.3,190,16,150,0.42,NPK 10:26:26,108
34,KVK_EXT,Cotton,7.2,200,17,145,0.5,DAP+MOP,98
35,SAU_PUB,Soybean,6.9,155,32,125,0.6,SSP,78
36,GOI_SHC,Wheat,7.0,240,21,170,0.65,Urea,88
37,ICAR_PUB,Rice,7.9,150,11,100,0.25,Urea+Zinc,135
38,DATA_GOV,Sugarcane,7.4,215,22,175,0.58,Urea+MOP,145
39,KVK_EXT,Maize,7.1,215,20,180,0.55,NPK 12:32:16,105
40,SAU_PUB,Vegetables,6.9,230,32,200,0.75,Compost,190
